Configuration,IsEqual,Precision,Recall,F-measure
00001,1,1.0,1.0,1.0
00002,1,1.0,1.0,1.0
00003,1,1.0,1.0,1.0
00004,1,1.0,1.0,1.0
00005,1,1.0,1.0,1.0
00006,1,1.0,1.0,1.0
00007,1,1.0,1.0,1.0
00008,1,1.0,1.0,1.0
00009,1,1.0,1.0,1.0
00010,1,1.0,1.0,1.0
00011,1,1.0,1.0,1.0
00012,1,1.0,1.0,1.0
00013,1,1.0,1.0,1.0
00014,1,1.0,1.0,1.0
00015,1,1.0,1.0,1.0
00016,1,1.0,1.0,1.0
00017,1,1.0,1.0,1.0
00018,1,1.0,1.0,1.0
00019,1,1.0,1.0,1.0
00020,1,1.0,1.0,1.0
00021,1,1.0,1.0,1.0
00022,1,1.0,1.0,1.0
00023,1,1.0,1.0,1.0
00024,1,1.0,1.0,1.0
00025,1,1.0,1.0,1.0